x_test,actual_label,predicted_label
Evidence now leans against global warming resulting from human - related greenhouse gas emissions.,1,2
45 % of the general public view perceived global warming as caused by humans.,0,0
There is a danger that we can get used to global warming.,2,2
Global warming isn ’ t happening.,1,2
Humans have a role and therefore as a matter of prudence we ought to have less carbon loading of the atmosphere.,2,2
The global warming has become a new religion.,1,2
There is no scientific proof that human emissions of carbon dioxide ( CO2 ) are the dominant cause of the minor warming of the Earth ’ s atmosphere over the past 100 years.,1,1
I am hoping that the scientists and politicians who have been blindly demonizing carbon dioxide for 37 years will one day open their eyes and look at the evidence.,1,2
Air travel produces far more carbon emissions than train travel.,0,2
Global warming is not expected to end anytime soon.,2,2
"If the media put global warming front and center on nightly newscasts and front pages and homepages, people would line up to fight the climate crisis.",2,2
Progress in avoiding environmental regrets can come through constructive discussion of ways to cut risks and waste and to sustain a long - term energy quest that extends beyond fossil fuels even while they remain abundant and cheap.,2,2
And that ’ s not the only way global warming causes psychological problems.,2,2
The globally averaged sea surface temperature for 2013 is among the 10 warmest on record.,2,0
"Global temperatures in 2014 shattered earlier records, making 2014 the hottest year since record - keeping began in 1880.",2,0
The federal government still lacks a comprehensive strategy to tackle floods.,0,2
"It interesting that environmental groups are opposed to fracking, which studies have shown help reduce carbon emissions.",0,2
California ’ s forests emitted more carbon than they sequestered.,0,0
The global warming of the 1900s is caused by a rise in solar output.,1,2
The findings do not undermine global warming theory.,0,1
"After the most extensive and expensive global propaganda campaign, fewer people worry about a warming planet than did 25 years ago.",1,2
"The whole world will be devastated if we don ’ t stop burning fossil fuels immediately ( if not sooner, since some say it ’ s too late and the world is already doomed ).",2,2
Global warming is a very serious problem.,2,2
Global trade merely outsourced U. S. emissions.,0,2
The Pacific winds are the culprit for slowing global warming.,0,2
There has been no global warming for nearly 19 years.,1,1
The 1997 - 1998 El Niño broke global temperature records in back - to - back years at the time.,0,0
Global warming is a myth.,1,1
Global warming global warming global warming global warming turns out to be as real and present and dangerous as ever it is.,2,2
A United Nations panel is more certain than ever that humans are causing global warming and predicted temperatures would rise by 0. 3 to 4. 8 degrees Celsius ( 0. 5 - 8. 6 degrees Fahrenheit ) this century.,2,2
"The fifteen - year long “ global warming ” campaign all along meant “ climate change ” and that this in turn means that places supposed to get hotter get hotter and that places that are supposed to get colder — under global warming, er, climate change — get colder.",1,2
We ’ ve increased spending on oil production by tremendous amounts only to see global oil production edge up a bit.,0,2
"By the year 2100, floods like the ones caused by Sandy could become 1 - in - 20 - year events.",2,2
"Sea levels in the Chesapeake Bay are rising at twice the rate of the national average, due to geological sinking and climate change.",2,2
"In other words, to the extent the public believes in the theory humans are responsible for global warming.",0,2
This says no more about the validity of global warming theory than Einstein ’ s having shagged Marilyn Monroe says about the validity of his theory of relativity.,1,1
Antarctica glacier could collapse within decades and “ sink cities ” after the discovery of a 300 - meter doomsday cavity lurking below the ice block.,0,2
"The Houston storm surge is half a foot higher than it would have been just decades ago, meaning far more flooding and destruction.",2,2
"Regardless of how much corn residue is taken off the field, the process contributes to global warming.",0,2
The dust that is darkening the brilliant whiteness of the snow is heating up in the strong sun and melting the snow and ice.,2,2
"The Arctic ice cap, which is thought to have lost an average of 12. 9 billion tonnes of ice a year between 1992 and 2010 due to general warming, may be losing an extra 27 billion tonnes a year just because of dust, potentially adding several centimeters of sea - level rise by 2100.",2,2
"While 64 percent of Americans think global warming is real and caused by human beings, only 44 percent of evangelicals do.",0,0
The reputational boost from Boeing efforts to reduce carbon emissions could help it win defense contracts.,0,2
"An open question is whether the moves on the left more recently are sort of moving the Overton window to where these carbon taxes become seen as a centrist, business - oriented approach that can gain favor.",0,0
A majority of respondents believe global warming has already begun.,2,0
Gas prices will not drop significantly because oil is a global commodity and those prices are largely set by international market forces.,0,0
"And for the sake of future generations, our generation must move toward a global compact to confront a changing climate before it is too late.",2,2
The Arctic ’ s albedo may be declining much faster than is estimated only a few years ago.,0,2
Carbon dioxide has reached 400 parts per million in the atmosphere.,0,0
The stark truth is that severe weather events alone will not cause global warming to pop to the top of the national agenda.,0,2
